frame,time,area (px)
593,19.76667,1835780
594,19.80000,1835714
595,19.83333,1835785
596,19.86667,1836444
597,19.90000,1836953
598,19.93333,1836251
599,19.96667,1836116
600,20.00000,1836258
601,20.03333,1836386
602,20.06667,1836273
603,20.10000,1835998
604,20.13333,1836871
605,20.16667,1838198
606,20.20000,1839995
607,20.23333,1840056
608,20.26667,1840257
609,20.30000,1840302
610,20.33333,1840295
611,20.36667,1839854
612,20.40000,1839222
613,20.43333,1839196
614,20.46667,1838781
615,20.50000,1837827
616,20.53333,1837192
617,20.56667,1836932
618,20.60000,1837210
619,20.63333,1837088
620,20.66667,1836778
621,20.70000,1837092
622,20.73333,1836935
623,20.76667,1837316
624,20.80000,1837485
625,20.83333,1837559
626,20.86667,1837738
627,20.90000,1837893
628,20.93333,1837566
629,20.96667,1836823
630,21.00000,1836044
631,21.03333,1835591
632,21.06667,1836431
633,21.10000,1838090
634,21.13333,1838236
635,21.16667,1837819
636,21.20000,1837993
637,21.23333,1839177
638,21.26667,1839371
639,21.30000,1840259
640,21.33333,1841090
641,21.36667,1841570
642,21.40000,1842236
643,21.43333,1840646
644,21.46667,1839496
645,21.50000,1838411
646,21.53333,1837260
647,21.56667,1836014
648,21.60000,1835012
649,21.63333,1835369
650,21.66667,1836370
651,21.70000,1838370
652,21.73333,1837873
653,21.76667,1838869
654,21.80000,1839197
655,21.83333,1839187
656,21.86667,1838883
657,21.90000,1838723
658,21.93333,1838851
659,21.96667,1838747
660,22.00000,1837965
661,22.03333,1836989
662,22.06667,1835953
663,22.10000,1835199
664,22.13333,1834658
665,22.16667,1834876
666,22.20000,1835570
667,22.23333,1835705
668,22.26667,1836180
669,22.30000,1836858
670,22.33333,1836747
671,22.36667,1836691
672,22.40000,1836264
673,22.43333,1835754
674,22.46667,1835125
675,22.50000,1834739
676,22.53333,1835558
677,22.56667,1836451
678,22.60000,1836791
679,22.63333,1836995
680,22.66667,1837017
681,22.70000,1836253
682,22.73333,1835711
683,22.76667,1835648
684,22.80000,1833993
685,22.83333,1832261
686,22.86667,1831722
687,22.90000,1831465
688,22.93333,1831123
689,22.96667,1831273
690,23.00000,1832880
691,23.03333,1833503
692,23.06667,1833468
693,23.10000,1832111
694,23.13333,1830386
695,23.16667,1829377
696,23.20000,1829039
697,23.23333,1828669
698,23.26667,1828233
699,23.30000,1828271
700,23.33333,1828314
701,23.36667,1829013
702,23.40000,1829321
703,23.43333,1829166
704,23.46667,1828725
705,23.50000,1828739
706,23.53333,1828490
707,23.56667,1829559
708,23.60000,1830047
709,23.63333,1830693
710,23.66667,1830433
711,23.70000,1830843
712,23.73333,1831170
713,23.76667,1831577
714,23.80000,1831002
715,23.83333,1831071
716,23.86667,1830095
717,23.90000,1829507
718,23.93333,1828914
719,23.96667,1828716
720,24.00000,1828453
721,24.03333,1828367
722,24.06667,1828793
723,24.10000,1829446
724,24.13333,1830057
725,24.16667,1830440
726,24.20000,1830484
727,24.23333,1831084
728,24.26667,1830548
729,24.30000,1829721
730,24.33333,1829912
731,24.36667,1830661
732,24.40000,1831230
733,24.43333,1831535
734,24.46667,1831242
735,24.50000,1831204
736,24.53333,1831053
737,24.56667,1830710
738,24.60000,1830149
739,24.63333,1830323
740,24.66667,1830240
741,24.70000,1829796
742,24.73333,1828784
743,24.76667,1827865
744,24.80000,1827052
745,24.83333,1826697
746,24.86667,1826494
747,24.90000,1826979
748,24.93333,1826999
749,24.96667,1826948
